product_name,product_brand,actual_price,selling_price,product_link
Men Checkered Casual Spread Shirt,Highlander,"₹1,599",₹499,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxtbygrvtu?pid=SHTEYK9QUZ2RKFV7&lid=LSTSHTEYK9QUZ2RKFV7LXWSZW&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTEYK9QUZ2RKFV7.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Shirt,Highlander,₹999,₹499,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmfekrxtp4jv6ye?pid=SHTFYBARM3YWCBY7&lid=LSTSHTFYBARM3YWCBY7LL49MC&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFYBARM3YWCBY7.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Spread Shirt,BASE 41,"₹1,670",₹499,flipkart.com/base-41-men-checkered-casual-yellow-shirt/p/itmfg349njtpnztz?pid=SHTFGFAHFPZ5PG8Z&lid=LSTSHTFGFAHFPZ5PG8Z6JKC8R&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFGFAHFPZ5PG8Z.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Mandarin Shirt,Highlander,₹999,₹469,flipkart.com/highlander-men-solid-casual-white-shirt/p/itmeh5hscgmqgdpf?pid=SHTEH5HSF2YDMDKZ&lid=LSTSHTEH5HSF2YDMDKZCIHVRP&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTEH5HSF2YDMDKZ.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Slim Shirt,Kevin Swift,"₹1,499",₹499,flipkart.com/kevin-swift-men-printed-casual-grey-shirt/p/itmfh6mvghpb3ye2?pid=SHTFH683SPDYZRCM&lid=LSTSHTFH683SPDYZRCMPSAURD&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIrpiUMslYnKQYgjJ05ItryIkD87GI92dtx7WVIyNBO2SeA%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Cut Away Shirt,Highlander,₹999,₹399,flipkart.com/highlander-men-printed-casual-multicolor-shirt/p/itmfhn6rhvxn5zxe?pid=SHTFHMXFDSTQWAUG&lid=LSTSHTFHMXFDSTQWAUGJZCOSO&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFHMXFDSTQWAUG.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Solid Casual Spread Shirt,Jai Textiles,"₹1,599",₹398,flipkart.com/jai-textiles-men-solid-casual-black-shirt/p/itmfa8sygtmwhqth?pid=SHTFA82Z6GG2UTHW&lid=LSTSHTFA82Z6GG2UTHWVK9768&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFA82Z6GG2UTHW.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Spread Shirt,Highlander,"₹1,299",₹499,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmf3x6evfwnbuqt?pid=SHTFYZZRUFURU5PS&lid=LSTSHTFYZZRUFURU5PSB2DY50&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTFYZZRUFURU5PS.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Printed Casual Shirt,Asian & Fitch,"₹1,599",₹499,flipkart.com/asian-fitch-men-printed-casual-red-shirt/p/itmede89a819a2f6?pid=SHTFQ6U95YSZ4ZGG&lid=LSTSHTFQ6U95YSZ4ZGGDZ4YF4&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_435appBZSQN0wtRd%2FkReEEreo%2F786DSdW%2BcEGJ%2FrIro6tIbmn0eVHvr99Gqo8HWgO504g%2FHdUwD2b%2FJPLZFgRQ%3D%3D&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
Men Checkered Casual Spread Shirt,Highlander,₹899,₹571,flipkart.com/highlander-men-checkered-casual-multicolor-shirt/p/itmf8q2yzfmebwng?pid=SHTF8Q2Y9MDMAYCD&lid=LSTSHTF8Q2Y9MDMAYCD8Q1MX2&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=f5762346-75d6-4ad9-a00c-c47c7a3cfadd.SHTF8Q2Y9MDMAYCD.SEARCH&ssid=iww2ro5g9c0000001591425131571&qH=c898b17e35b9f66c
